2026-03-19T20:43:28Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 403 | 64ms | 127.0.0.1
2026-03-19T20:44:22Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 403 | 2ms | 127.0.0.1
2026-03-19T20:44:43Z | anonymous | POST | /api/v1/auth/logout | 200 | 152ms | 127.0.0.1
2026-03-19T20:44:46Z | anonymous | POST | /api/v1/auth/login | 200 | 409ms | 127.0.0.1
2026-03-19T21:09:47Z | anonymous | POST | /api/v1/auth/refresh | 200 | 251ms | 127.0.0.1
2026-03-19T21:20:51Z | anonymous | POST | /api/v1/auth/logout | 200 | 69ms | 127.0.0.1
2026-03-19T21:20:53Z | anonymous | POST | /api/v1/auth/login | 200 | 283ms | 127.0.0.1
2026-03-19T21:21:12Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097 | 200 | 6ms | 127.0.0.1
2026-03-19T21:21:12Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/roles | 200 | 157ms | 127.0.0.1
2026-03-19T21:21:12Z | anonymous | GET | /api/v1/auth/password-policy | 200 | 159ms | 127.0.0.1
2026-03-19T21:21:12Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/project-roles | 200 | 154ms | 127.0.0.1
2026-03-19T21:24:09Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097 | 200 | 7ms | 127.0.0.1
2026-03-19T21:24:09Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/roles | 200 | 10ms | 127.0.0.1
2026-03-19T21:24:10Z | anonymous | GET | /api/v1/auth/password-policy | 200 | 413ms | 127.0.0.1
2026-03-19T21:24:10Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/project-roles | 200 | 421ms | 127.0.0.1
2026-03-19T21:24:15Z | anonymous | POST | /api/v1/auth/logout | 200 | 49ms | 127.0.0.1
2026-03-19T21:24:18Z | anonymous | POST | /api/v1/auth/login | 200 | 389ms | 127.0.0.1
2026-03-19T21:24:21Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 21ms | 127.0.0.1
2026-03-19T21:25:04Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097 | 200 | 2ms | 127.0.0.1
2026-03-19T21:25:04Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/roles | 200 | 2ms | 127.0.0.1
2026-03-19T21:25:04Z | anonymous | GET | /api/v1/auth/password-policy | 200 | 11ms | 127.0.0.1
2026-03-19T21:25:05Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/project-roles | 200 | 265ms | 127.0.0.1
2026-03-19T21:25:17Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 20ms | 127.0.0.1
2026-03-19T21:32:10Z | anonymous | GET | /api/v1/auth/password-policy | 200 | 25ms | 127.0.0.1
2026-03-19T21:32:10Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/project-roles | 200 | 52ms | 127.0.0.1
2026-03-19T21:32:10Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097 | 200 | 164ms | 127.0.0.1
2026-03-19T21:32:11Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/users/c8fbfda3-1d11-46cb-8437-7581cf5dd097/roles | 200 | 171ms | 127.0.0.1
2026-03-19T21:33:11Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 24ms | 127.0.0.1
2026-03-19T21:34:16Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 5ms | 127.0.0.1
2026-03-19T21:35:14Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 107ms | 127.0.0.1
2026-03-19T21:49:18Z | anonymous | POST | /api/v1/auth/refresh | 200 | 115ms | 127.0.0.1
2026-03-19T21:59:41Z | c8fbfda3-1d11-46cb-8437-7581cf5dd097 | GET | /api/v1/admin/roles | 200 | 51ms | 127.0.0.1
